Name,Datetime,Preset(new),Base(new),Base(old),Thickness(old),Density(old),Precipitation(old),Visibility(fog),Thickness(fog),Density(dust),QNH,Temperature,Wind(0ft),Wind(6600ft),Wind(26000ft),Turbulence,Remarks
A,2024-01-01T01:00L,RainyPreset4,8202,,,,,,,,3015,5,25003kt,26030kt,270102kt,25,SCT RA TURB SRISE 0324Z NOSIG
B,2024-01-03T06:30L,Preset2,8268,,,,,,,39272,3006,9,32506kt,27531kt,275148kt,14,FEW -TURB DS NOSIG
C,2024-01-06T10:30L,,,5577,3543,10,1,,,,3012,15,30504kt,29021kt,28085kt,30,OVC TURB SSET 1345Z NOSIG
D,2024-01-09T19:00L,Preset14,8268,,,,,,,,3035,13,26501kt,28512kt,28564kt,15,BKN -TURB NIGHT NOSIG
E,2024-01-12T02:30L,RainyPreset3,5906,,,,,,,,3009,4,19504kt,25036kt,260136kt,60,OVC +TURB SRISE 0325Z NOSIG
F,2024-01-15T08:00L,Preset3,8202,,,,,,,,3016,10,21502kt,26038kt,260112kt,20,SCT TURB NOSIG
G,2024-01-17T12:00L,,,0,0,0,0,,,6726,2991,16,01515kt,26518kt,255125kt,0,SS NOSIG
H,2024-01-20T16:00L,,,0,0,0,0,,,,3008,12,22502kt,24512kt,240137kt,5,SSET 1356Z NOSIG
I,2024-01-23T04:00L,Preset8,17913,,,,,,,,3007,4,01001kt,28529kt,270114kt,10,FEW -TURB SRISE 0323Z NOSIG
J,2024-01-25T09:30L,,,0,0,0,0,,,,2085,17,22002kt,26034kt,270134kt,5,NOSIG
K,2024-01-28T13:30L,,,0,0,0,0,,,,2994,12,29007kt,27533kt,265138kt,0,NOSIG
L,2024-01-31T23:00L,Preset1,8268,,,,,,,,3010,11,26502kt,26543kt,270153kt,15,SCT -TURB NIGHT NOSIG